category,amount,description,date,userId,orderId,bookingId
Logistics,120.50,Fuel for delivery to East Legon,2025-01-05,,1,
Operational,850.00,January rent for storage,2025-01-02,,,
Payroll,3000.00,Staff salaries - January,2025-01-31,,,
Marketing,450.00,Instagram promo campaign,2025-01-12,,,
Logistics,95.75,Vehicle maintenance - oil change,2025-12-18,,2,
Operational,230.00,Electricity bill - office,2025-01-08,,,
Marketing,180.00,Flyers printing for weekend pop-up,2025-02-02,,,
Payroll,420.00,Weekend event crew wages,2025-02-10,,,
Operational,160.00,Internet subscription,2025-02-01,,,
Logistics,65.00,Delivery fuel - Tema route,2025-02-15,,3,
Marketing,275.00,WhatsApp broadcast ads,2025-02-20,,,
Operational,110.00,Office supplies restock,2025-12-22,,,
Logistics,140.00,Fuel for delivery to Spintex,2025-02-25,,4,
Logistics,110.00,Delivery crew overtime,2025-02-26,,5,
Logistics,85.00,Delivery fuel - Airport Hills,2025-02-28,,6,
Logistics,210.00,Van service for long delivery route,2025-03-02,,7,
Marketing,320.00,Influencer shoutout package,2025-03-05,,,
Payroll,600.00,Weekend event crew wages,2025-03-08,,,
Operational,190.00,Water bill - warehouse,2025-03-10,,,
Logistics,75.00,Delivery fuel - East Legon,2025-03-12,,8,
Operational,210.00,Office cleaning service,2025-03-15,,,
Marketing,260.00,Facebook ads - rentals,2025-03-18,,,
