name,description,price,type,image_url,quantity,status
vtech Spin & Learn Color Flashlight,Learning is colorful with the Spin & Learn Color Flashlight® by VTech®! Press the adorable turtle button on the chunky handle in flashlight mode to use just like a real flashlight.,280.00,Kid's Toys,/imgs/shopItems/img_1.png,0,unavailable
Number Foil Balloon,"Perfect for birthdays, anniversaries, graduations, and milestone celebrations. Durable and easy to inflate with air or helium.",30.00,Party Supplies,/imgs/shopItems/img_25.png,2,available
Johnson's® Baby Cotton Buds,200 pieces. Plastic-free. Recyclable packaging. 100% pure cotton tips and 100% paper sticks.,80,Household Supplies,/imgs/shopItems/img_30.png,0,unavailable
Montoy Slime Bave (100g),Feels and Stretches like real bubble gum.,80.00,Kid's Toys,/imgs/shopItems/img_24.png,5,available
Shredded Tissue Paper,"Enhance your gift wrapping with premium shredded tissue paper, ideal for birthdays, weddings, parties, and special events.",20,Party Supplies,/imgs/shopItems/img_28.png,12,available
Lexibook Premium Stereo Headphones,"Safe volume for kids, designed for comfort and style.",300.00,Kid's Toys,/imgs/shopItems/img_7.png,0,unavailable
Infunbebe Baby Steering Wheel & Keys Combo,2-in-1 steering wheel with lights and sounds plus colorful teething keys for early play.,120,Kid's Toys,/imgs/shopItems/img_2.png,1,available
Assorted Body Sprays & Deodorants,"Mixed pack of body sprays, mist and roll-on deodorants for everyday freshness.",45.00,Household Supplies,/imgs/shopItems/img_3.png,19,available
Dove Body Care Essentials Pack,"Relaxing ritual lavender body wash, cucumber & green tea body wash, and gentle hand wash bundle.",80.00,Household Supplies,/imgs/shopItems/img_4.png,12,available
MB Golf Caddy Toy Set,"Portable kid-size golf caddy with clubs, balls, and tees for backyard play.",130,Kid's Toys,/imgs/shopItems/img_5.png,3,available
Imaginete Kids Music Band Set,"Trumpet, recorders, maracas, drum, and guitar for creative music time.",75.00,Kid's Toys,/imgs/shopItems/img_6.png,6,available
A4 Filing & Envelope Set,Elastic A4 boxfile with colored folders and Paperline envelopes for organized storage.,55.00,School Supplies,/imgs/shopItems/img_11.png,4,available
Animal Top Bubble Wands,Long bubble wands with playful animal and soccer tops for outdoor fun.,15.00,Kid's Toys,/imgs/shopItems/img_12.png,5,available
Dinosaur Water Blaster Backpack,Backpack water tank with dino graphics and pump-action blaster for summer play.,180.00,Kid's Toys,/imgs/shopItems/img_13.png,0,unavailable
Bluey Medical Case Playset,Doctor-themed carry case with Bluey graphics and kid-safe instruments for pretend play.,95,Kid's Toys,/imgs/shopItems/img_14.png,6,available
Alphabet Foam Play Mat Tiles (Y-Z),Interlocking EVA foam tiles featuring bright alphabet letters for soft play areas.,250.00,Kid's Toys,/imgs/shopItems/img_15.png,1,available
Lifestyle Dress Up Fashion Doll Set,Dress-up doll with multiple outfits and accessories for imaginative styling.,70.00,Kid's Toys,/imgs/shopItems/img_16.png,5,available
Space Heroes Action Figure Pack,Set of 10 articulated space hero figures in assorted colors for epic battles.,25,Kid's Toys,/imgs/shopItems/img_17.png,5,available
Super Police Car Light & Sound,Battery-powered police car with lights and sound effects for ages 3+.,65,Kid's Toys,/imgs/shopItems/img_18.png,1,available
Monster Trucks 2-Pack Friction Powered,Pair of friction-powered monster trucks for push-and-go racing fun.,180,Kid's Toys,/imgs/shopItems/img_19.png,1,available
Montoy Off-Road Racing Car,Ready-to-run SWAT-themed racing buggy with big tires and try-me sound.,140,Kid's Toys,/imgs/shopItems/img_20.png,3,available
FunTime 2-in-1 Pop-Up Friends,Tap-tap shape sorter with pop-up animal friends and play hammer for toddlers.,160,Kid's Toys,/imgs/shopItems/img_21.png,1,available
Mini Family Suits Kitchen Playset,"Compact kitchen appliance set with mixer, coffee maker, scale, and blender for pretend cooking.",230,Kid's Toys,/imgs/shopItems/img_23.png,1,available
80-Piece Wooden Block Set,Colorful wooden building blocks in a handy carry bucket to spark creativity.,180,Kid's Toys,/imgs/shopItems/img_27.png,1,available
Maxi Clever Blocks 50-Piece Box,Durable storage tub filled with jumbo interlocking blocks for toddlers.,250,Kid's Toys,/imgs/shopItems/img_29.png,2,available
